CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG
1336,302,36,3806
4190,322,57,3911
3454,299,38,3992
6593,403,61,4164
6151,348,65,4300
5676,376,59,4398
5434,361,52,4691
5295,352,61,5256
3689,326,72,5185
3198,305,52,5148
5910,401,59,5050
5231,389,74,4919
5171,428,67,4847
5258,434,65,4822
4838,392,63,4756
3478,367,66,4726
2918,334,56,4686
4641,439,73,4505
5141,386,82,4492
4906,364,74,4454
4937,416,63,4408
4711,431,80,4390
3275,322,78,4361
2855,337,67,4352
5660,403,65,4498
4697,367,78,4434
4780,422,90,4416
4675,391,86,4379
3668,401,88,4230
2858,266,79,4170
2891,304,74,4176
975,289,65,3506
2660,404,77,3215
5143,442,75,3267
4856,432,90,3293
4157,441,82,3363
3079,364,77,3394
1647,312,78,3217
4430,393,82,3710
3730,397,71,3863
3778,363,79,3668
3411,321,96,3462
3314,345,82,3341
2204,280,82,3216
1896,248,81,3252
2858,324,83,3027
3724,351,85,3026
3438,292,81,2978
2047,262,54,2783
3017,305,57,2741
2494,298,69,2782
2287,272,59,2838
3615,351,74,2946
3474,328,74,2910
3460,355,79,2913
3480,292,74,3118
3239,329,71,3150
2015,244,66,3081
2038,244,68,3046
3725,325,62,3062
3109,274,53,3009
3241,307,72,2978
3118,299,61,2926
2886,258,54,2876
2044,243,56,2880
1876,249,61,2857
3399,296,68,2810
3340,282,71,2843
3203,282,62,2838
3106,294,56,2836
3202,293,73,2881
2175,220,63,2900
1923,252,40,2907
3391,293,44,2906
3196,248,65,2885
3170,280,45,2880
2916,304,59,2853
3048,261,45,2831
2158,262,50,2829
2090,267,50,2853
3881,328,55,2923
3250,279,54,2930
3453,293,41,2971
3798,310,70,3097
3418,313,64,3150
2223,260,52,3159
1751,206,57,3111
3557,304,48,3064
3187,263,42,3055
3185,289,61,3017
2866,265,57,2884
2619,263,54,2770
2050,234,48,2745
1467,215,47,2704
3269,265,53,2663
3003,229,46,2637
2764,220,44,2577
2571,216,54,2535
2469,204,54,2513
1723,189,49,2467
1315,160,53,2445
2533,201,41,2340
2362,202,37,2248
2241,195,35,2173
2015,218,41,2094
1837,196,31,2004
1275,164,35,1940
1056,167,35,1903
1881,173,41,1810
1604,155,35,1701
1416,114,35,1583
1361,161,41,1490
1289,156,47,1412
852,104,29,1351
757,120,24,1309
1368,144,30,1235
1138,116,31,1169
1215,129,29,1140
1055,115,31,1096
963,95,38,1050
577,79,30,1010
569,72,29,984
935,88,23,922
877,95,27,884
779,76,26,822
784,81,27,783
715,72,37,748
383,62,24,720
343,62,26,688
654,70,28,648
629,69,21,612
594,62,18,586
516,66,25,548
486,69,28,515
292,39,9,502
279,41,16,493
453,73,16,464
415,52,14,434
377,58,14,403
395,65,14,385
349,52,14,366
233,35,17,357
187,45,12,344
355,35,10,330
305,40,6,314
248,33,6,296
257,44,9,276
210,35,12,256
126,25,10,241
120,26,8,232
118,19,12,198
288,33,13,195
242,44,11,194
206,29,12,187
224,23,7,189
142,17,6,191
130,25,5,193
219,31,7,207
176,38,10,191
211,24,9,187
155,25,6,180
189,26,6,175
121,22,5,172
113,30,6,169
180,25,7,164
179,25,6,164
175,24,6,159
187,30,9,163
158,18,8,159
107,13,11,157
97,26,5,155
169,30,3,153
171,33,7,152
187,23,5,154
175,14,5,152
181,19,6,155
118,18,3,157
109,23,1,159
205,25,6,164
212,23,4,170
223,21,4,175
204,31,4,179
232,36,7,186
144,20,6,190
120,21,4,191
185,14,1,189
360,23,3,210
397,23,2,235
367,24,2,258
369,37,2,277
236,17,2,291
267,28,4,312
473,24,4,353
456,25,3,366
544,47,2,387
548,28,5,413
552,36,5,439
340,36,6,454
387,37,2,471
805,50,5,519
703,52,4,554
890,41,2,604
967,51,3,663
911,47,3,715
550,42,2,745
631,41,4,780
1215,58,1,838
1197,71,5,909
1239,74,6,959
1283,74,8,1004
1274,78,10,1056
846,67,4,1098
823,47,11,1125
1560,71,4,1175
1571,94,3,1228
1600,84,8,1280
1521,88,6,1314
1568,113,10,1356
1141,84,14,1398
1065,96,6,1432
1883,128,9,1478
1660,116,6,1491
1746,137,6,1512
1755,115,6,1545
1596,136,9,1549
1039,90,10,1535
1137,106,6,1545
1916,122,6,1550
1734,128,14,1560
1812,112,13,1570
1682,92,13,1559
1548,113,5,1553
1081,112,16,1559
715,102,9,1498
1944,112,12,1502
1826,101,11,1515
1768,107,8,1509
1632,102,13,1502
1438,102,9,1486
976,78,14,1471
979,85,13,1509
1828,120,13,1492
1617,118,10,1463
1551,121,13,1432
1425,92,11,1402
1411,74,8,1398
901,100,12,1387
944,71,12,1382
940,74,17,1256
1559,105,7,1247
1581,95,20,1252
1707,92,18,1292
1537,94,15,1310
1032,79,15,1329
1207,86,12,1366
1723,98,12,1478
1635,79,9,1489
1604,93,10,1492
1384,80,11,1446
1518,82,11,1443
945,83,10,1431
1051,71,16,1409
1632,92,15,1396
1282,80,14,1345
1402,95,13,1316
1274,89,11,1301
1215,79,9,1257
802,64,15,1237
849,49,14,1208
1373,71,16,1171
1108,62,13,1146
1087,61,13,1101
1125,55,8,1080
